OBJECTID,* Damage,* Street Number,* Street Name,"* Street Type (e.g. road, drive, lane, etc.)",* City,State,Zip Code,* CAL FIRE Unit,County,Community,Incident Start Date,Hazard Type,Structure Defense Actions Taken,* Structure Type,Structure Category,# Units in Structure (if multi unit),* Roof Construction,* Eaves,* Vent Screen,* Exterior Siding,* Window Pane,* Deck/Porch On Grade,* Deck/Porch Elevated,* Patio Cover/Carport Attached to Structure,* Fence Attached to Structure,Distance - Propane Tank to Structure,Distance - Residence to Utility/Misc Structure &gt; 120 SQFT,Assessed Improved Value (parcel),Year Built (parcel),Site Address (parcel),Latitude,Longitude
130397,Destroyed (>50%),847.0,Galloway ,Street,Pacific Palisades,CA,90272.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,Unknown,Single Family Residence Multi Story,Single Residence,,Asphalt,Unknown,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,Unknown,Non Combustible,,,113781.0,2015.0,"847 GALLOWAY ST, PACIFIC PALISADES, CA 90272",34.0445566,-118.5208031
27083,No Damage,165.0,Neptune,,,CA,,ORC,Orange,Irvine ,10/26/2020 12:00:00 AM,Fire,Unknown,Multi Family Residence Multi Story,Multiple Residence,8.0,Tile,Enclosed,Unknown,Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,,211414.0,2015.0,77 PLATEAU # 13 IRVINE CA 92618,33.6987568542451,-117.732511259312
130671,No Damage,815.0,El Oro,Lane,Pacific Palisades,CA,90272.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Other,No Eaves,No Vents,Stucco Brick Cement,Single Pane,No Deck/Porch,Masonry/Concrete,Non Combustible,Non Combustible,,>50',3012392.0,2020.0,"815 EL ORO LN, PACIFIC PALISADES, CA 90272",34.0514087,-118.5477695
127227,Destroyed (>50%),1023.0,Fiske,Street,Pacific Palisades,CA,90272.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,Unknown,Single Family Residence Multi Story,Single Residence,0.0,Asphalt,No Eaves,"Mesh Screen > 1/8""""",Stucco Brick Cement,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,Combustible,,<30',307394.0,1924.0,"1023 FISKE ST, PACIFIC PALISADES, CA 90272",34.04786,-118.5225289
21724,Destroyed (>50%),40.0,Castanas,Road,,CA,,CZU,Santa Cruz,,8/16/2020 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Unknown,Unknown,No Vents,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,317278.0,1952.0,40 CASTANAS RD BONNY DOON CA 95060,37.0930098042558,-122.142486926661
83615,Destroyed (>50%),19603.0,Us Highway 50,,Pollock Pines,CA,95726.0,AEU,El Dorado,,8/14/2021 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,0.0,Wood,Unknown,Unknown,Wood,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,>30,<30',26887.0,,19603 US HIGHWAY 50 POLLOCK PINES CA 95726,38.8134910141334,-120.087269087722
23432,No Damage,0.0,,,,CA,,CZU,Santa Cruz,,8/16/2020 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,546518.0,1939.0,4286 BONNY DOON RD SANTA CRUZ CA 95060,37.0446225612338,-122.15397872824
25899,No Damage,0.0,Unknown,,,CA,,SCU,Santa Clara,,8/18/2020 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,18253.0,, ,37.1134333993547,-121.316168663395
42243,Destroyed (>50%),2735.0,Eskin Maidu,Trail,Unincorporated,CA,,BTU,Butte,Chico,11/8/2018 12:00:00 AM,Fire,,Mobile Home Single Wide,Single Residence,,Metal,Enclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,,,31706.0,1974.0,2735  ESKIN MAIDU TL   CHICO CA 95926,39.7393958108672,-121.678536015352
113942,Destroyed (>50%),161.0,E Pine,Street,Altadena,CA,91001.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Single Story,Single Residence,,Tile,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,147668.0,1959.0,"161 E PINE ST, ALTADENA, CA 91001",34.1947513,-118.1433578
81011,No Damage,5160.0,Old Mine,Road,Grizzly Flats,CA,95636.0,AEU,El Dorado,Grizzly Flat ,8/14/2021 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,0.0,Asphalt,Unenclosed,No Vents,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,,,5160 OLD MINE RD GRIZZLY FLATS CA 95636,38.6390639861749,-120.551935081353
116851,Destroyed (>50%),3358.0,Tonia,Avenue,Altadena,CA,91001.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,,226632.0,1947.0,"3358 TONIA AVE, ALTADENA, CA 91001",34.2011947,-118.1404052
68679,Destroyed (>50%),3624.0,Leete,Avenue,Santa Rosa,CA,0.0,LNU,Sonoma,Fountaingrove,10/8/2017 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Fire Resistant,Unknown,Screened,Combustible,Multi Pane, , , ,,,,109872.0,,3524 LEETE AVE SANTA ROSA CA 95404,38.4815473514563,-122.704424711808
29668,Destroyed (>50%),6160.0,Erika,Way,Paradise Southeast A,CA,,BTU,Butte,Paradise ,11/8/2018 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,,50908.0,1955.0,6160  ERIKA DR   PARADISE CA 95969,39.7687654164434,-121.581455549721
42279,Destroyed (>50%),1966.0,Honey Run,Road,Unincorporated,CA,,BTU,Butte,Chico,11/8/2018 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Combustible,Multi Pane,Masonry/Concrete,Wood,Combustible,No Fence,>30,,243420.0,1982.0,1966  HONEY RUN RD   CHICO CA 95926,39.7308712494644,-121.68956438416
103123,No Damage,1608.0,Woodglen,Lane,Altadena,CA,91001.0,LAC,Los Angeles,Altadena ,1/7/2025 8:02:01 AM,Fire,Unknown,Single Family Residence Single Story,Single Residence,1.0,Asphalt,Enclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,,243458.0,1975.0,"1608 WOODGLEN LN, ALTADENA, CA 91001",34.1976135,-118.1174774
64080,Destroyed (>50%),15057.0,Hoberg,Drive,Cobb,CA,0.0,LNU,Lake,Cobb,9/12/2015 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Unknown,Unknown,Unknown,Unknown,Unknown, , , ,,,,294217.0,,15057 HOBERG DR COBB CA 95426,38.8432083086353,-122.730123440571
50034,Destroyed (>50%),5765.0,Busch,Drive,Malibu,CA,,LAC,Los Angeles,Zuma,11/8/2018 12:00:00 AM,Fire,Unknown,Single Family Residence Single Story,Single Residence,0.0,Tile,Unknown,"Mesh Screen <= 1/8""""",Ignition Resistant,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,>50',316038.0,1951.0,5763 BUSCH DR MALIBU CA 90265,34.0294027834184,-118.819630599669
56146,No Damage,,,,,CA,,BTU,Butte,,11/8/2018 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,, , , , , , , , ,,,,139799.0,1964.0,5080 EDEN RD PARADISE CA 95969,39.7335162884123,-121.624396409996
83728,No Damage,50651.0,Kirkwood Lake ,Road,Pioneer,CA,95666.0,AEU,Amador,,8/14/2021 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,0.0,Wood,Unenclosed,No Vents,Wood,Single Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,11-20,,45158.0,,50651 KIRKWOOD LAKE RD PIONEER CA 95666,38.7061807165367,-120.081524933707
91357,No Damage,1144.0,Church ,Avenue,Weed,CA,96094.0,SKU,Siskiyou,,9/2/2022 12:00:00 AM,Fire,Engine Company Actions,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Wood,Multi Pane,No Deck/Porch,Composite,No Patio Cover/Carport,No Fence,,>50',34754.0,1920.0,"1144 CHURCH AVE, WEED, CA 96094",41.435429,-122.38819041
64720,Destroyed (>50%),1444.0,Starview,Court,Santa Rosa,CA,0.0,LNU,Sonoma,Coffey Park,10/8/2017 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Fire Resistant,Unknown,Screened,Fire Resistant,Unknown, , , ,,,,134474.0,,1444 STARVIEW CT SANTA ROSA CA 95403,38.4813093781286,-122.746862480489
65263,Destroyed (>50%),13652.0,Adams Springs,Road,Unincorporated,CA,0.0,LNU,Lake,Loch Lomond ,9/12/2015 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Combustible,Unknown,Unknown,Combustible,Unknown, , , ,,,,86210.0,,13652 ADAMS SPRINGS DR COBB CA 95426,38.8552381698785,-122.720575172856
52959,No Damage,,,,,CA,,BTU,Butte,,11/8/2018 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,, , , , , , , , ,,,,360388.0,1990.0,7006 CLARK RD PARADISE CA 95969,39.7880915297434,-121.585505625739
129635,No Damage,21641.0,Saddle Peak,Road,Topanga,CA,90290.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Tile,Enclosed,Unscreened,Stucco Brick Cement,Multi Pane,Masonry/Concrete,Masonry/Concrete,Combustible,No Fence,,,1060406.0,2006.0,"21641 SADDLE PEAK RD, TOPANGA, CA 90290",34.071119,-118.6148773
34463,Destroyed (>50%),1823.0,Drendel,Circle,Paradise Southeast B,CA,,BTU,Butte,Paradise,11/8/2018 12:00:00 AM,Fire,Unknown,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Multi Pane,Masonry/Concrete,Wood,Combustible,No Fence,,,73187.0,1956.0,1823  DRENDEL CIR   PARADISE CA 95969,39.7438570933049,-121.569758076164
117314,No Damage,3968.0,Alzada,Road,Altadena,CA,91001.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,Masonry/Concrete,Non Combustible,No Fence,,,344296.0,1997.0,"3968 ALZADA RD, ALTADENA, CA 91001",34.2079647,-118.1441349
117732,No Damage,3675.0,Glenrose ,Avenue,Altadena,CA,91001.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Asphalt,Unenclosed,No Vents,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,121201.0,1960.0,"3675 GLENROSE AVE, ALTADENA, CA 91001",34.2052228,-118.1440357
20776,Destroyed (>50%),595.0,Boulder Brook,Drive,,CA,,CZU,Santa Cruz,,8/16/2020 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Unknown,Unknown,Wood,Single Pane,Unknown,Wood,Unknown,Unknown,>30,30-50',75704.0,1951.0,595 BOULDER BROOK DR BOULDER CREEK CA 95006,37.1288523669532,-122.140024462109
68146,Destroyed (>50%),5150.0,Warm Springs,Road,Unincorporated,CA,0.0,LNU,Sonoma,Glenn Ellen,10/8/2017 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Unknown,Unknown,Unknown,Unknown,Unknown, , , ,,,,218079.0,1982.0,5150 WARM SPRINGS RD,38.3658770284764,-122.528623687562
54718,No Damage,,,,Unincorporated,CA,,BTU,Butte,,11/8/2018 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,, , , , , , , , ,,,,120000.0,1980.0,14106 WYCLIFF WAY MAGALIA CA 95954,39.8218180152413,-121.604103730934
80506,Destroyed (>50%),9659.0,Aspen Creek,Road,Twin Bridges,CA,95735.0,AEU,El Dorado,,8/14/2021 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,0.0,Metal,Unenclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,,79964.0,,9659 ASPEN CREEK RD TWIN BRIDGES CA 95735,38.813249346001,-120.084205627787
67981,Destroyed (>50%),15364.0,Glenn,Drive,Cobb,CA,0.0,LNU,Lake,Cobb,9/12/2015 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Combustible,Unknown,Screened,Combustible,Unknown, , , ,,,,56665.0,,15364 GLENN RD COBB CA 95426,38.8383509256463,-122.726594419757
97832,No Damage,838.0,Dell,Avenue,Mt Baldy,CA,91759.0,BDU,San Bernardino,,9/8/2024 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,Unenclosed,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,210171.0,1927.0,"838 DELL AVE, MT BALDY, CA 91759",34.2381609,-117.6569539
106140,No Damage,943.0,E Palm,Street,Altadena,CA,91001.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,Unenclosed,No Vents,Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,<30',169719.0,1940.0,"943 E PALM ST, ALTADENA, CA 91001",34.1931264,-118.1303253
27316,No Damage,16610.0,Cobalt,Court,,CA,,BDU,San Bernardino,Chino Hills,10/26/2020 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Tile,Enclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,No Deck/Porch,Wood,Combustible,Non Combustible,,,156075.0,1996.0,16610 COBALT CT CHINO HILLS CA 91709,33.9517643624917,-117.699844462383
37850,Destroyed (>50%),14173.0,Creston,Road,Magalia,CA,,BTU,Butte,Magalia,11/8/2018 12:00:00 AM,Fire,Unknown,Mobile Home Double Wide,Single Residence,,Asphalt,Unknown,Unknown,Combustible,Single Pane,No Deck/Porch,Wood,Combustible,No Fence,,<30',52671.0,1978.0,14173  CRESTON RD   MAGALIA CA 95954,39.8253102284454,-121.598490023976
129841,Destroyed (>50%),16321.0,Pacific Coast,Highway,Pacific Palisades,CA,90272.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Mobile Home Double Wide,Single Residence,0.0,Metal,Unknown,"Mesh Screen > 1/8""""",Stucco Brick Cement,Single Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,No Fence,,,60393.0,2003.0,"16321 PACIFIC COAST HWY SPC 1, PACIFIC PALISADES, CA 90272",34.0376764,-118.5380137
16635,No Damage,1490.0,Capell Valley ,Road,,CA,,LNU,Napa,,8/16/2020 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,1111252.0,1991.0,1490 CAPELL VALLEY RD NAPA CA 94558,38.4555903763467,-122.215319359169
90284,No Damage,42015.0,Varnum,Road,Hemet,CA,92544.0,RRU,Riverside,Hemet,9/5/2022 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Metal,Enclosed,No Vents,Metal,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,37861.0,1973.0,42015 VARNUM RD HEMET 92544 CA,33.6444805,-116.9269615
80330,No Damage,6131.0,41 Milestone Tract ,Road,Echo Lake,CA,95721.0,AEU,El Dorado,,8/14/2021 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,0.0,Metal,Unenclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,Wood,Wood,No Patio Cover/Carport,No Fence,,,14463.0,,6131 41 MILE STONE RD ECHO LAKE CA 95721,38.7863250087635,-120.161490505203
102438,No Damage,2185.0,North Roosevelt ,Avenue,Altadena,CA,91001.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,Combustible,,,62887.0,1947.0,"2185 ROOSEVELT AVE, ALTADENA, CA 91001",34.1834752,-118.1020681
108321,Destroyed (>50%),32.0,E Manor ,Street,Altadena,CA,91001.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Unknown,"Mesh Screen > 1/8""""",Stucco Brick Cement,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Combustible,,,107535.0,1947.0,"32 E MANOR ST, ALTADENA, CA 91001",34.1926067,-118.1473648
64747,Destroyed (>50%),11591.0,McCourtney,Road,Unincorporated,CA,0.0,NEU,Nevada,Grass Valley ,10/9/2017 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Fire Resistant,Unenclosed,Screened,Combustible,Single Pane, , , ,,,,76300.0,,11591 MCCOURTNEY RD GRASS VALLEY CA 95949,39.2023469526167,-121.080419360977
96442,Destroyed (>50%),33774.0,Bucks flat,Road,,CA,0.0,TGU,Tehama,Mineral ,7/24/2024 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,0.0,Metal,No Eaves,No Vents,Metal,Multi Pane,No Deck/Porch,No Deck/Porch,Combustible,No Fence,,,0.0,0.0,,40.2402452,-121.7718981
24533,Destroyed (>50%),281.0,Rosita,Drive,,CA,,CZU,Santa Cruz,Boulder Creek,8/16/2020 12:00:00 AM,Fire,Engine Company Actions,Single Family Residence Single Story,Single Residence,,Asphalt,Unknown,"Mesh Screen > 1/8""""",Other,Multi Pane,Wood,Wood,Combustible,No Fence,21-30,>50',451440.0,2010.0,281 ROSITA DR BOULDER CREEK CA 95006,37.1735329448145,-122.162532527697
31248,Destroyed (>50%),6280.0,Lancaster,Drive,Paradise Northeast B,CA,,BTU,Butte,Paradise,11/8/2018 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Asphalt,Unknown,"Mesh Screen > 1/8""""",Combustible,Single Pane,No Deck/Porch,No Deck/Porch,Non Combustible,No Fence,,,135000.0,1962.0,6280  LANCASTER DR   PARADISE CA 95969,39.7727787207895,-121.589010699264
57764,Destroyed (>50%),3566.0,Brookdale,Drive,Santa Rosa,CA,0.0,LNU,Sonoma,Fountaingrove,10/8/2017 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Fire Resistant,Unknown,Unknown,Fire Resistant,Unknown, , , ,,,,81212.0,,3566 BROOKDALE DR SANTA ROSA CA 95404,38.4777687392401,-122.70207874707
67006,Destroyed (>50%),5772.0,Camino Del Rey,,Unincorporated,CA,0.0,MVU,San Diego,San Luis Rey Training Center,12/7/2017 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Fire Resistant,Unenclosed,Unknown,Fire Resistant,Unknown, , , ,,,,0.0,,0 CAMINO DEL REY  ,33.286446173417,-117.20271346847
66132,Destroyed (>50%),3099.0,Oak Crest,Drive,Unincorporated,CA,0.0,LNU,Lake,Clear Lake ,10/8/2017 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Unknown,Unknown,Unknown,Unknown,Unknown, , , ,,,,128000.0,,3099 OAK CREST DR CLEARLAKE CA 95422,38.9832185929859,-122.693603537623
114713,No Damage,2927.0,Santa Rosa ,Avenue,Altadena,CA,91001.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,Masonry/Concrete,Masonry/Concrete,No Patio Cover/Carport,Combustible,,,308793.0,1939.0,"2927 SANTA ROSA AVE, ALTADENA, CA 91001",34.1948681,-118.1332581
1386,Destroyed (>50%),0.0,Zenia Lake Mountain ,Road,Kettenpom,CA,,HUU,Trinity,,8/17/2020 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Metal,Unknown,Unknown,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,,33266.0,,7150 Zenia-Lake Mountain Rd ZENIA CA 95595,40.1187516328668,-123.440856841669
49745,Destroyed (>50%),30042.0,Andromeda ,Road,Malibu,CA,,LAC,Los Angeles,Zuma Beach ,11/8/2018 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Asphalt,Unknown,Unknown,Ignition Resistant,Unknown,Unknown,Unknown,Combustible,Combustible,,,826917.0,1975.0,30060 ANDROMEDA LN MALIBU CA 90265,34.0347351799393,-118.829356887422
121532,Destroyed (>50%),833.0,Via De La Paz,,Pacific Palisades,CA,90272.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Commercial Building Single Story,Nonresidential Commercial,,Asphalt,No Eaves,No Vents,Stucco Brick Cement,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,650000.0,1948.0,"833 VIA DE LA PAZ, PACIFIC PALISADES, CA 90272",34.0458292,-118.5277038
87002,Destroyed (>50%),36651.0,28No1,Road,,CA,95983.0,LMU,Plumas,,7/13/2021 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,0.0,Metal,No Eaves,Unknown,Wood,Multi Pane,No Deck/Porch,Wood,Combustible,No Fence,,,28019.0,,36665 28N01 95983,40.1970153817646,-120.506709991262
27628,No Damage,5.0,Viaggio,Lane,,CA,,ORC,Orange,,10/26/2020 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Asphalt,Unenclosed,No Vents,Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,,352451.0,1995.0,5 VIAGGIO LN FOOTHILL RANCH CA 92610,33.6907220948553,-117.655295354544
31316,Destroyed (>50%),1718.0,Lazy Oaks,Drive,Paradise Southeast A,CA,,BTU,Butte,Paradise ,11/8/2018 12:00:00 AM,Fire,,Mobile Home Double Wide,Single Residence,,Metal,No Eaves,No Vents,Ignition Resistant,Multi Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,,,5280.0,1973.0,1718  LAZY OAKS CIR   PARADISE CA 95969,39.7685407592485,-121.580352154448
95394,No Damage,18121.0,Tamarack,Way,Mill Creek,CA,96061.0,TGU,Tehama,Mill creek ,7/24/2024 12:00:00 AM,Fire,Combination of Actions,Utility Misc Structure,Other Minor Structure,0.0,Metal,Unenclosed,No Vents,Wood,Unknown,No Deck/Porch,No Deck/Porch,Combustible,No Fence,,,184529.0,1995.0,"18121 TAMARACK WAY, MILL CREEK, CA 96061",40.3252513,-121.5256905
99475,No Damage,23247.0,Palm Canyon,Lane,Malibu,CA,90265.0,LAC,Los Angeles,,12/9/2024 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,0.0,Tile,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,Combustible,>30,,1199886.0,1998.0,"23247 PALM CANYON LN, MALIBU, CA 90265",34.0473858,-118.6812941
96631,Destroyed (>50%),9447.0,Cohasset ,Road,,CA,0.0,BTU,Butte,,7/24/2024 12:00:00 AM,Fire,,Motor Home,Single Residence,0.0,Metal,No Eaves,No Vents,Metal,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Combustible,,,0.0,0.0,,39.9111873,-121.7395328
68643,Destroyed (>50%),1046.0,Swall Meadows,Road,Bishop,CA,93514.0,BDU,Mono,Swall Meadows,2/6/2015 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Fire Resistant,Unknown,,Fire Resistant,Unknown, , , ,,,,260000.0,,1046 Swall Meadows Rd,37.5121998457413,-118.638834469031
17268,Destroyed (>50%),3018.0,Bucktown ,Lane,,CA,,LNU,Solano,Vacaville ,8/16/2020 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Metal,Unknown,Unknown,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,63819.0,,3018 BUCKTOWN LN   95688,38.3908885462006,-122.023825679598
13038,No Damage,810.0,Lommel,Road,,CA,,LNU,Napa,,9/27/2020 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Wood,Multi Pane,No Deck/Porch,Wood,Combustible,Combustible,,,962370.0,1993.0,810 LOMMEL RD CALISTOGA CA 94515,38.5758010493238,-122.51847220293
125064,Destroyed (>50%),1808.0,Manzanita Park,Avenue,Malibu,CA,90265.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Unknown,Unknown,Wood,Unknown,Masonry/Concrete,Unknown,Combustible,No Fence,,,339932.0,1966.0,"1808 MANZANITA PARK AVE, MALIBU, CA 90265",34.0659682,-118.6467461
39875,Destroyed (>50%),4865.0,Pentz,Road,Unincorporated,CA,,BTU,Butte,Paradise,11/8/2018 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,Unscreened,Combustible,Single Pane,Wood,Wood,Combustible,No Fence,>30,,367136.0,1992.0,4865  PENTZ RD   PARADISE CA 95969,39.7235529447367,-121.578310473351
29177,Destroyed (>50%),5572.0,Foland,Road,Paradise Central Southeast B,CA,,BTU,Butte,Paradise,11/8/2018 12:00:00 AM,Fire,Unknown,Single Family Residence Single Story,Single Residence,0.0,Asphalt,Unknown,Unknown,Combustible,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,,124848.0,1955.0,5572  FOLAND RD   PARADISE CA 95969,39.7511563940848,-121.591160884271
38695,Destroyed (>50%),5631.0,Jewel,Road,Paradise Southwest B,CA,,BTU,Butte,Paradise,11/8/2018 12:00:00 AM,Fire,Unknown,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Combustible,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,Non Combustible,,<30',172674.0,1948.0,5631  JEWELL RD   PARADISE CA 95969,39.7504796635052,-121.634201515034
82631,No Damage,17365.0,42 Mile Stone,Road,Echo Lake,CA,95721.0,AEU,El Dorado,,8/14/2021 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,0.0,Metal,Unenclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,,,81619.0,,ECHO LAKE CA 95721,38.7921147376179,-120.150681657701
